MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-
48.0,9,25.0,36.0,,,,15,15,100.0,,,5.0,11.0,,,,4.0,33,
52.0,8,18.0,44.4,,,,6,9,66.7,,,11.0,7.0,,,,4.0,22,
,7,18.0,38.9,,,,8,8,100.0,,,6.0,5.0,,,,2.0,22,
47.0,10,17.0,58.8,,,,6,9,66.7,,,6.0,9.0,,,,1.0,26,
24.0,1,8.0,12.5,,,,2,5,40.0,,,3.0,4.0,,,,3.0,4,
43.0,8,18.0,44.4,,,,11,11,100.0,,,9.0,,,,,5.0,27,
48.0,7,18.0,38.9,,,,14,14,100.0,,,5.0,12.0,,,,3.0,28,
46.0,11,18.0,61.1,,,,12,15,80.0,,,5.0,16.0,,,,4.0,34,
,9,20.0,45.0,,,,22,23,95.7,,,5.0,14.0,,,,4.0,40,
40.0,9,19.0,47.4,,,,7,8,87.5,,,7.0,6.0,,,,3.0,25,
,10,28.0,35.7,,,,4,5,80.0,,,8.0,10.0,,,,1.0,24,
45.0,5,22.0,22.7,,,,12,13,92.3,,,6.0,9.0,,,,4.0,22,
46.0,14,25.0,56.0,,,,11,11,100.0,,,4.0,6.0,,,,0.0,39,
53.0,17,33.0,51.5,,,,14,15,93.3,,,7.0,10.0,,,,1.0,48,
44.0,10,23.0,43.5,,,,13,16,81.3,,,10.0,6.0,,,,2.0,33,
,11,25.0,44.0,,,,14,16,87.5,,,11.0,11.0,,,,4.0,36,
48.0,10,20.0,50.0,,,,14,18,77.8,,,5.0,18.0,,,,2.0,34,
39.0,4,16.0,25.0,,,,9,11,81.8,,,5.0,15.0,,,,4.0,17,
37.0,7,14.0,50.0,,,,8,12,66.7,,,6.0,13.0,,,,3.0,22,
44.0,14,25.0,56.0,,,,9,12,75.0,,,8.0,11.0,,,,3.0,37,
47.0,12,22.0,54.5,,,,6,9,66.7,,,7.0,8.0,,,,4.0,30,
,8,24.0,33.3,,,,12,13,92.3,,,6.0,13.0,,,,3.0,28,
48.0,14,29.0,48.3,,,,9,10,90.0,,,10.0,10.0,,,,3.0,37,
48.0,9,22.0,40.9,,,,10,11,90.9,,,9.0,11.0,,,,2.0,28,
53.0,8,21.0,38.1,,,,5,6,83.3,,,11.0,13.0,,,,3.0,21,
48.0,10,20.0,50.0,,,,10,10,100.0,,,1.0,10.0,,,,2.0,30,
48.0,13,19.0,68.4,,,,10,10,100.0,,,9.0,14.0,,,,3.0,36,
48.0,13,25.0,52.0,,,,11,12,91.7,,,3.0,6.0,,,,3.0,37,
45.0,10,25.0,40.0,,,,9,10,90.0,,,10.0,10.0,,,,1.0,29,
48.0,15,25.0,60.0,,,,8,9,88.9,,,5.0,8.0,,,,2.0,38,
48.0,13,21.0,61.9,,,,9,11,81.8,,,2.0,8.0,,,,5.0,35,
48.0,16,24.0,66.7,,,,3,5,60.0,,,5.0,11.0,,,,2.0,35,
41.0,7,16.0,43.8,,,,1,2,50.0,,,2.0,15.0,,,,5.0,15,
44.0,12,23.0,52.2,,,,7,9,77.8,,,10.0,10.0,,,,2.0,31,
,8,13.0,61.5,,,,11,12,91.7,,,10.0,15.0,,,,4.0,27,
22.0,4,6.0,66.7,,,,3,4,75.0,,,3.0,5.0,,,,2.0,11,
2.0,0,2.0,0.0,,,,0,0,,,,1.0,1.0,,,,0.0,0,
47.0,11,26.0,42.3,,,,8,10,80.0,,,10.0,9.0,,,,4.0,30,
48.0,5,22.0,22.7,,,,14,17,82.4,,,14.0,16.0,,,,4.0,24,
40.0,12,21.0,57.1,,,,8,9,88.9,,,7.0,9.0,,,,3.0,32,
42.0,12,23.0,52.2,,,,8,8,100.0,,,7.0,16.0,,,,2.0,32,
12.0,1,3.0,33.3,,,,2,3,66.7,,,1.0,1.0,,,,2.0,4,
35.0,10,18.0,55.6,,,,3,4,75.0,,,9.0,8.0,,,,2.0,23,
47.0,11,24.0,45.8,,,,16,20,80.0,,,7.0,3.0,,,,5.0,38,
48.0,12,23.0,52.2,,,,16,17,94.1,,,7.0,13.0,,,,5.0,40,
45.0,16,25.0,64.0,,,,10,11,90.9,,,3.0,7.0,,,,6.0,42,
46.0,11,22.0,50.0,,,,13,13,100.0,,,4.0,14.0,,,,2.0,35,
33.0,6,16.0,37.5,,,,15,16,93.8,,,8.0,7.0,,,,1.0,27,
48.0,10,23.0,43.5,,,,9,9,100.0,,,8.0,12.0,,,,3.0,29,
,11,37.0,29.7,,,,11,12,91.7,,,5.0,6.0,,,,3.0,33,
44.0,11,22.0,50.0,,,,10,10,100.0,,,6.0,14.0,,,,3.0,32,
48.0,14,26.0,53.8,,,,8,9,88.9,,,7.0,19.0,,,,4.0,36,
37.0,10,18.0,55.6,,,,7,8,87.5,,,2.0,10.0,,,,4.0,27,
48.0,10,19.0,52.6,,,,12,14,85.7,,,7.0,10.0,,,,5.0,32,
48.0,13,29.0,44.8,,,,14,16,87.5,,,7.0,15.0,,,,1.0,40,
39.0,11,17.0,64.7,,,,6,7,85.7,,,3.0,8.0,,,,2.0,28,
45.0,9,24.0,37.5,,,,9,11,81.8,,,4.0,13.0,,,,5.0,27,
48.0,7,19.0,36.8,,,,16,19,84.2,,,1.0,8.0,,,,4.0,30,
47.0,13,19.0,68.4,,,,13,15,86.7,,,12.0,9.0,,,,3.0,39,
53.0,15,36.0,41.7,,,,13,14,92.9,,,12.0,11.0,,,,4.0,43,
48.0,11,21.0,52.4,,,,12,13,92.3,,,6.0,7.0,,,,3.0,34,
,12,19.0,63.2,,,,11,13,84.6,,,7.0,7.0,,,,2.0,35,
48.0,14,24.0,58.3,,,,13,14,92.9,,,8.0,16.0,,,,1.0,41,
48.0,14,26.0,53.8,,,,6,6,100.0,,,11.0,12.0,,,,4.0,34,
48.0,12,23.0,52.2,,,,8,8,100.0,,,6.0,10.0,,,,1.0,32,
,8,18.0,44.4,,,,10,12,83.3,,,10.0,11.0,,,,5.0,26,
48.0,12,28.0,42.9,,,,12,13,92.3,,,5.0,7.0,,,,4.0,36,
48.0,10,25.0,40.0,,,,7,9,77.8,,,7.0,8.0,,,,5.0,27,
48.0,11,24.0,45.8,,,,12,12,100.0,,,9.0,10.0,,,,3.0,34,
48.0,11,17.0,64.7,,,,9,9,100.0,,,8.0,17.0,,,,5.0,31,
38.0,9,16.0,56.3,,,,9,10,90.0,,,5.0,15.0,,,,4.0,27,
48.0,16,29.0,55.2,,,,8,9,88.9,,,6.0,9.0,,,,3.0,40,
46.0,7,21.0,33.3,,,,8,9,88.9,,,5.0,6.0,,,,3.0,22,
48.0,12,18.0,66.7,,,,7,8,87.5,,,5.0,19.0,,,,4.0,31,
48.0,13,23.0,56.5,,,,11,13,84.6,,,5.0,0.0,,,,3.0,37,
40.0,12,24.0,50.0,,,,11,12,91.7,,,5.0,5.0,,,,2.0,35,
13.0,3,4.0,75.0,,,,1,1,100.0,,,2.0,1.0,,,,1.0,7,
,11,21.0,52.4,,,,4,5,80.0,,,7.0,15.0,,,,2.0,26,
46.0,15,24.0,62.5,,,,10,11,90.9,,,5.0,12.0,,,,6.0,40,
36.0,6,15.0,40.0,,,,2,2,100.0,,,3.0,6.0,,,,2.0,14,
17.0,0,4.0,0.0,,,,1,1,100.0,,,0.0,4.0,,,,1.0,1,
22.0,5,7.0,71.4,,,,7,9,77.8,,,3.0,5.0,,,,4.0,17,
44.0,10,21.0,47.6,,,,13,18,72.2,,,5.0,14.0,,,,3.0,33,
45.0,6,13.0,46.2,,,,15,17,88.2,,,6.0,6.0,,,,4.0,27,
48.0,8,18.0,44.4,,,,7,9,77.8,,,6.0,9.0,,,,1.0,23,
46.0,11,21.0,52.4,,,,6,10,60.0,,,6.0,10.0,,,,4.0,28,
44.0,15,26.0,57.7,,,,11,15,73.3,,,6.0,8.0,,,,3.0,41,
,8,17.0,47.1,,,,7,9,77.8,,,2.0,9.0,,,,3.0,23,
44.0,5,11.0,45.5,,,,10,12,83.3,,,10.0,16.0,,,,3.0,20,
48.0,10,20.0,50.0,,,,7,9,77.8,,,10.0,13.0,,,,4.0,27,
,3,13.0,23.1,,,,8,8,100.0,,,7.0,,,,,2.0,14,
,8,19.0,42.1,,,,12,13,92.3,,,10.0,,,,,4.0,28,
43.0,9,15.0,60.0,,,,6,8,75.0,,,5.0,7.0,,,,2.0,24,
42.0,12,19.0,63.2,,,,9,11,81.8,,,5.0,14.0,,,,2.0,33,
,8,14.0,57.1,,,,5,8,62.5,,,3.0,4.0,,,,1.0,21,
16.0,3,10.0,30.0,,,,1,1,100.0,,,2.0,1.0,,,,1.0,7,
48.0,9,17.0,52.9,,,,8,9,88.9,,,5.0,9.0,,,,4.0,26,
,7,11.0,63.6,,,,9,10,90.0,,,5.0,13.0,,,,4.0,23,
42.0,10,13.0,76.9,,,,3,3,100.0,,,7.0,20.0,,,,3.0,23,
48.0,5,12.0,41.7,,,,3,4,75.0,,,7.0,17.0,,,,4.0,13,
,9,20.0,45.0,,,,1,4,25.0,,,3.0,13.0,,,,1.0,19,
42.0,3,10.0,30.0,,,,12,15,80.0,,,8.0,5.0,,,,5.0,18,
,5,14.0,35.7,,,,5,6,83.3,,,6.0,6.0,,,,2.0,15,
45.0,8,11.0,72.7,,,,6,8,75.0,,,5.0,15.0,,,,4.0,22,
46.0,13,24.0,54.2,,,,5,7,71.4,,,10.0,16.0,,,,4.0,31,
46.0,7,15.0,46.7,,,,5,5,100.0,,,6.0,15.0,,,,3.0,19,
,11,18.0,61.1,,,,11,14,78.6,,,7.0,,,,,3.0,33,
46.0,9,20.0,45.0,,,,8,9,88.9,,,5.0,7.0,,,,1.0,26,
43.0,4,11.0,36.4,,,,6,6,100.0,,,6.0,8.0,,,,0.0,14,
43.0,7,15.0,46.7,,,,7,9,77.8,,,9.0,7.0,,,,2.0,21,
34.0,5,16.0,31.3,,,,3,4,75.0,,,8.0,8.0,,,,2.0,13,
48.0,14,20.0,70.0,,,,7,9,77.8,,,4.0,12.0,,,,4.0,35,
48.0,10,17.0,58.8,,,,2,5,40.0,,,4.0,10.0,,,,4.0,22,
46.0,10,17.0,58.8,,,,11,16,68.8,,,13.0,11.0,,,,1.0,31,
,7,14.0,50.0,,,,8,8,100.0,,,10.0,6.0,,,,2.0,22,
,12,23.0,52.2,,,,13,15,86.7,,,8.0,10.0,,,,4.0,37,
48.0,8,12.0,66.7,,,,10,13,76.9,,,4.0,13.0,,,,5.0,26,
42.0,8,13.0,61.5,,,,7,8,87.5,,,6.0,6.0,,,,1.0,23,
48.0,5,15.0,33.3,,,,11,14,78.6,,,3.0,7.0,,,,4.0,21,
46.0,9,20.0,45.0,,,,5,5,100.0,,,4.0,9.0,,,,2.0,23,
,9,14.0,64.3,,,,7,7,100.0,,,2.0,8.0,,,,5.0,25,
9.0,1,3.0,33.3,,,,2,4,50.0,,,3.0,2.0,,,,2.0,4,
,7,20.0,35.0,,,,7,11,63.6,,,4.0,13.0,,,,1.0,21,
,5,11.0,45.5,,,,3,3,100.0,,,1.0,8.0,,,,6.0,13,
,8,15.0,53.3,,,,10,10,100.0,,,7.0,10.0,,,,2.0,26,
,12,22.0,54.5,,,,12,13,92.3,,,6.0,8.0,,,,3.0,36,
,6,17.0,35.3,,,,10,11,90.9,,,5.0,,,,,3.0,22,
,7,18.0,38.9,,,,7,8,87.5,,,7.0,,,,,2.0,21,
45.0,9,16.0,56.3,,,,5,5,100.0,,,9.0,9.0,,,,2.0,23,
48.0,16,24.0,66.7,,,,10,12,83.3,,,8.0,7.0,,,,3.0,42,
,7,17.0,41.2,,,,11,14,78.6,,,6.0,,,,,2.0,25,
48.0,12,22.0,54.5,,,,13,16,81.3,,,5.0,8.0,,,,1.0,37,
48.0,6,20.0,30.0,,,,10,11,90.9,,,9.0,12.0,,,,2.0,22,
45.0,7,12.0,58.3,,,,3,5,60.0,,,9.0,8.0,,,,6.0,17,
48.0,6,26.0,23.1,,,,12,14,85.7,,,7.0,9.0,,,,4.0,24,
48.0,7,20.0,35.0,,,,9,10,90.0,,,6.0,9.0,,,,2.0,23,
48.0,13,24.0,54.2,,,,13,14,92.9,,,8.0,7.0,,,,1.0,39,
47.0,7,14.0,50.0,,,,9,12,75.0,,,8.0,11.0,,,,4.0,23,
,12,25.0,48.0,,,,4,5,80.0,,,9.0,7.0,,,,2.0,28,
41.0,8,9.0,88.9,,,,10,11,90.9,,,14.0,17.0,,,,2.0,26,
,10,16.0,62.5,,,,9,9,100.0,,,11.0,11.0,,,,5.0,29,
52.0,14,25.0,56.0,,,,6,7,85.7,,,4.0,12.0,,,,4.0,34,
,12,25.0,48.0,,,,10,13,76.9,,,12.0,12.0,,,,4.0,34,
,7,13.0,53.8,,,,7,7,100.0,,,4.0,10.0,,,,1.0,21,
44.0,7,19.0,36.8,,,,6,8,75.0,,,9.0,16.0,,,,2.0,20,
,10,22.0,45.5,,,,7,8,87.5,,,7.0,15.0,,,,3.0,27,
48.0,11,23.0,47.8,,,,16,17,94.1,,,7.0,11.0,,,,5.0,38,
41.0,7,20.0,35.0,,,,10,12,83.3,,,8.0,6.0,,,,3.0,24,
,13,21.0,61.9,,,,14,16,87.5,,,3.0,8.0,,,,3.0,40,
40.0,7,15.0,46.7,,,,10,10,100.0,,,2.0,7.0,,,,2.0,24,
46.0,5,14.0,35.7,,,,8,11,72.7,,,9.0,9.0,,,,3.0,18,
46.0,9,21.0,42.9,,,,11,13,84.6,,,2.0,9.0,,,,4.0,29,
,7,17.0,41.2,,,,9,11,81.8,,,8.0,7.0,,,,3.0,23,
48.0,11,21.0,52.4,,,,9,11,81.8,,,6.0,8.0,,,,5.0,31,
43.0,11,25.0,44.0,,,,6,7,85.7,,,8.0,6.0,,,,4.0,28,
37.0,10,18.0,55.6,,,,9,10,90.0,,,4.0,6.0,,,,5.0,29,
23.0,3,10.0,30.0,,,,6,8,75.0,,,1.0,18.0,,,,1.0,12,
48.0,8,17.0,47.1,,,,13,13,100.0,,,7.0,18.0,,,,4.0,29,
48.0,12,23.0,52.2,,,,9,12,75.0,,,10.0,5.0,,,,3.0,33,
42.0,10,20.0,50.0,,,,11,15,73.3,,,3.0,13.0,,,,4.0,31,
48.0,7,17.0,41.2,,,,11,14,78.6,,,8.0,13.0,,,,3.0,25,
,10,16.0,62.5,,,,9,9,100.0,,,5.0,11.0,,,,2.0,29,
45.0,11,23.0,47.8,,,,12,13,92.3,,,6.0,11.0,,,,4.0,34,
36.0,5,14.0,35.7,,,,0,0,,,,3.0,4.0,,,,1.0,10,
,7,21.0,33.3,,,,14,17,82.4,,,3.0,,,,,3.0,28,
,6,13.0,46.2,,,,12,12,100.0,,,7.0,,,,,4.0,24,
46.0,8,14.0,57.1,,,,8,12,66.7,,,7.0,12.0,,,,3.0,24,
40.0,9,14.0,64.3,,,,11,14,78.6,,,11.0,7.0,,,,3.0,29,
43.0,7,16.0,43.8,,,,10,11,90.9,,,2.0,6.0,,,,1.0,24,
46.0,10,21.0,47.6,,,,5,6,83.3,,,5.0,7.0,,,,2.0,25,
48.0,15,21.0,71.4,,,,7,9,77.8,,,6.0,9.0,,,,3.0,37,
,12,20.0,60.0,,,,4,5,80.0,,,12.0,13.0,,,,1.0,28,
,6,14.0,42.9,,,,5,6,83.3,,,5.0,3.0,,,,3.0,17,
,4,10.0,40.0,,,,12,14,85.7,,,4.0,5.0,,,,4.0,20,
40.0,8,13.0,61.5,,,,3,3,100.0,,,6.0,10.0,,,,1.0,19,
44.0,9,15.0,60.0,,,,4,5,80.0,,,6.0,12.0,,,,4.0,22,
,7,18.0,38.9,,,,10,13,76.9,,,8.0,13.0,,,,3.0,24,
,12,16.0,75.0,,,,4,5,80.0,,,2.0,,,,,2.0,28,
44.0,11,17.0,64.7,,,,3,4,75.0,,,9.0,8.0,,,,3.0,25,
41.0,3,12.0,25.0,,,,13,16,81.3,,,13.0,8.0,,,,2.0,19,
44.0,9,22.0,40.9,,,,10,11,90.9,,,14.0,11.0,,,,4.0,28,
36.0,6,16.0,37.5,,,,1,2,50.0,,,5.0,9.0,,,,2.0,13,
43.0,8,21.0,38.1,,,,7,8,87.5,,,5.0,5.0,,,,0.0,23,
42.0,14,20.0,70.0,,,,8,8,100.0,,,6.0,10.0,,,,2.0,36,
,14,25.0,56.0,,,,13,13,100.0,,,10.0,15.0,,,,3.0,41,
41.0,6,13.0,46.2,,,,3,4,75.0,,,10.0,9.0,,,,2.0,15,
,14,28.0,50.0,,,,12,15,80.0,,,7.0,4.0,,,,4.0,40,
39.0,5,12.0,41.7,,,,2,4,50.0,,,10.0,7.0,,,,3.0,12,
41.0,9,16.0,56.3,,,,1,1,100.0,,,2.0,4.0,,,,2.0,19,
47.0,10,19.0,52.6,,,,3,4,75.0,,,10.0,11.0,,,,2.0,23,
40.0,5,11.0,45.5,,,,3,5,60.0,,,1.0,6.0,,,,1.0,13,
36.0,6,16.0,37.5,,,,12,16,75.0,,,1.0,4.0,,,,1.0,24,
25.0,5,6.0,83.3,,,,2,3,66.7,,,2.0,9.0,,,,0.0,12,
42.0,10,15.0,66.7,,,,9,10,90.0,,,6.0,11.0,,,,3.0,29,
,10,27.0,37.0,,,,10,10,100.0,,,8.0,,,,,3.0,30,
4.0,0,1.0,0.0,,,,0,0,,,,0.0,1.0,,,,0.0,0,
,12,25.0,48.0,,,,7,8,87.5,,,7.0,,,,,0.0,31,
,7,17.0,41.2,,,,13,14,92.9,,,5.0,13.0,,,,2.0,27,
,9,16.0,56.3,,,,2,4,50.0,,,8.0,,,,,5.0,20,
51.0,13,23.0,56.5,,,,5,7,71.4,,,2.0,7.0,,,,3.0,31,
44.0,12,24.0,50.0,,,,4,6,66.7,,,3.0,9.0,,,,1.0,28,
53.0,15,30.0,50.0,,,,8,8,100.0,,,6.0,8.0,,,,3.0,38,
,13,28.0,46.4,,,,7,8,87.5,,,6.0,6.0,,,,1.0,33,
44.0,6,18.0,33.3,,,,5,9,55.6,,,5.0,8.0,,,,2.0,17,
45.0,9,17.0,52.9,,,,10,13,76.9,,,5.0,8.0,,,,1.0,28,
52.0,14,25.0,56.0,,,,9,9,100.0,,,5.0,10.0,,,,5.0,37,
35.0,3,11.0,27.3,,,,1,6,16.7,,,5.0,7.0,,,,2.0,7,
,18,34.0,52.9,,,,8,10,80.0,,,7.0,7.0,,,,2.0,44,
44.0,10,18.0,55.6,,,,15,16,93.8,,,4.0,11.0,,,,4.0,35,
48.0,10,19.0,52.6,,,,11,11,100.0,,,7.0,7.0,,,,4.0,31,
45.0,10,19.0,52.6,,,,5,5,100.0,,,4.0,6.0,,,,2.0,25,
35.0,8,14.0,57.1,,,,6,7,85.7,,,9.0,8.0,,,,1.0,22,
40.0,14,30.0,46.7,,,,8,9,88.9,,,5.0,4.0,,,,5.0,36,
42.0,14,24.0,58.3,,,,4,5,80.0,,,3.0,6.0,,,,2.0,32,
40.0,10,17.0,58.8,,,,6,8,75.0,,,8.0,8.0,,,,3.0,26,
36.0,8,13.0,61.5,,,,6,8,75.0,,,1.0,9.0,,,,1.0,22,
43.0,15,23.0,65.2,,,,3,4,75.0,,,6.0,10.0,,,,6.0,33,
,9,18.0,50.0,,,,5,6,83.3,,,9.0,13.0,,,,4.0,23,
48.0,15,25.0,60.0,,,,9,9,100.0,,,6.0,9.0,,,,5.0,39,
39.0,15,20.0,75.0,,,,11,14,78.6,,,6.0,9.0,,,,2.0,41,
,7,20.0,35.0,,,,7,9,77.8,,,6.0,9.0,,,,3.0,21,
,6,16.0,37.5,,,,2,2,100.0,,,7.0,3.0,,,,1.0,14,
,6,15.0,40.0,,,,6,9,66.7,,,5.0,,,,,5.0,18,
,9,15.0,60.0,,,,7,8,87.5,,,10.0,12.0,,,,1.0,25,
,16,25.0,64.0,,,,6,6,100.0,,,5.0,11.0,,,,4.0,38,
34.0,5,13.0,38.5,,,,3,5,60.0,,,6.0,6.0,,,,2.0,13,
,10,18.0,55.6,,,,13,17,76.5,,,5.0,5.0,,,,5.0,33,
43.0,7,13.0,53.8,,,,8,10,80.0,,,3.0,7.0,,,,4.0,22,
36.0,11,17.0,64.7,,,,4,6,66.7,,,8.0,4.0,,,,2.0,26,
43.0,8,17.0,47.1,,,,14,17,82.4,,,8.0,4.0,,,,0.0,30,
44.0,6,13.0,46.2,,,,0,1,0.0,,,5.0,11.0,,,,2.0,12,
46.0,6,13.0,46.2,,,,4,6,66.7,,,7.0,11.0,,,,2.0,16,
51.0,13,30.0,43.3,,,,9,10,90.0,,,12.0,10.0,,,,5.0,35,
28.0,8,16.0,50.0,,,,7,13,53.8,,,4.0,5.0,,,,4.0,23,
40.0,9,18.0,50.0,,,,7,11,63.6,,,6.0,6.0,,,,2.0,25,
,8,26.0,30.8,,,,2,2,100.0,,,7.0,7.0,,,,3.0,18,
28.0,1,8.0,12.5,,,,2,2,100.0,,,4.0,4.0,,,,3.0,4,
35.0,5,13.0,38.5,,,,5,5,100.0,,,4.0,5.0,,,,2.0,15,
40.0,6,9.0,66.7,,,,2,3,66.7,,,8.0,13.0,,,,4.0,14,
34.0,8,16.0,50.0,,,,4,9,44.4,,,5.0,4.0,,,,3.0,20,
43.0,9,18.0,50.0,,,,10,11,90.9,,,3.0,2.0,,,,3.0,28,
45.0,8,19.0,42.1,,,,4,5,80.0,,,6.0,8.0,,,,3.0,20,
41.0,10,19.0,52.6,,,,4,4,100.0,,,11.0,7.0,,,,4.0,24,
48.0,8,17.0,47.1,,,,2,2,100.0,,,10.0,16.0,,,,5.0,18,
44.0,13,23.0,56.5,,,,6,8,75.0,,,9.0,9.0,,,,3.0,32,
40.0,8,12.0,66.7,,,,8,9,88.9,,,7.0,5.0,,,,2.0,24,
43.0,12,20.0,60.0,,,,5,6,83.3,,,12.0,10.0,,,,3.0,29,
42.0,9,20.0,45.0,,,,6,8,75.0,,,4.0,5.0,,,,1.0,24,
35.0,5,10.0,50.0,,,,8,9,88.9,,,2.0,9.0,,,,0.0,18,
38.0,9,15.0,60.0,,,,8,10,80.0,,,4.0,8.0,,,,3.0,26,
40.0,12,17.0,70.6,,,,2,2,100.0,,,7.0,6.0,,,,2.0,26,
41.0,5,12.0,41.7,,,,10,10,100.0,,,6.0,10.0,,,,5.0,20,
43.0,6,16.0,37.5,,,,3,4,75.0,,,7.0,11.0,,,,1.0,15,
45.0,13,18.0,72.2,,,,2,2,100.0,,,5.0,8.0,,,,2.0,28,
44.0,7,13.0,53.8,,,,3,3,100.0,,,7.0,9.0,,,,2.0,17,
40.0,7,16.0,43.8,,,,4,5,80.0,,,4.0,8.0,,,,4.0,18,
36.0,8,15.0,53.3,,,,1,2,50.0,,,9.0,8.0,,,,2.0,17,
40.0,8,13.0,61.5,,,,9,9,100.0,,,4.0,9.0,,,,5.0,25,
37.0,7,11.0,63.6,,,,5,6,83.3,,,9.0,9.0,,,,5.0,19,
47.0,10,20.0,50.0,,,,5,6,83.3,,,10.0,14.0,,,,3.0,25,
37.0,9,15.0,60.0,,,,2,3,66.7,,,8.0,12.0,,,,2.0,20,
